generation,min_loss,min_loss_val,med_loss,med_size,med_complexity,med_num_params,med_dim
175,159.334,227.346,215.14,17,42,10,7
176,159.334,227.346,214.853,19,48,11,7
177,159.334,227.346,215.14,19,45,11,7
178,159.334,227.346,214.853,19,52,12,7
179,159.334,227.346,214.853,19,52,12,7
180,159.334,227.346,215.14,16,39,9,7
181,159.334,227.346,216.883,16,39,9,7
182,159.334,227.346,215.14,16,39,9,7
183,159.334,227.346,219.353,19,52,12,7
184,159.334,227.346,215.14,19,52,12,7
185,159.334,227.346,228.794,19,52,12,7
186,159.334,227.346,215.14,17,42,10,7
187,159.334,227.346,227.707,19,52,12,7
188,159.334,227.346,214.853,19,52,12,7
189,159.334,227.346,224.45,19,52,12,7
190,159.334,227.346,223.922,16,39,9,7
191,159.334,227.346,215.14,19,52,12,7
192,159.334,227.346,223.005,19,52,12,7
193,159.334,227.346,214.853,19,52,12,7
194,159.334,227.346,215.14,19,52,12,7
195,159.334,227.346,214.853,19,52,12,7
196,159.334,227.346,214.853,19,52,12,7
197,159.334,227.346,214.853,19,52,12,7
198,159.334,227.346,214.853,19,52,12,7
199,159.334,227.346,214.853,19,52,12,7
generation,min_loss,min_loss_val,med_loss,med_size,med_complexity,med_num_params,med_dim
0,390.731,403.224,1458.76,17,44,9,6
1,350.716,413.082,686.293,16,42,9,7
2,345.862,425.871,483.27,16,41,9,7
3,306.105,434.651,454.495,16,40,9,7
4,306.105,434.651,422.822,15,36,9,7
5,302.125,426.676,406.443,15,34,8,7
6,287.665,757.983,400.939,13,30,7,6
7,263.416,285.902,385.455,12,29,7,6
8,238.248,265.329,386.616,13,28,7,6
9,222.353,242.211,364.904,12,29,7,6
10,222.353,242.211,341.301,14,30,8,6
11,222.341,242.214,315.928,14,31,8,6
12,222.341,242.214,325.642,14,29,8,6
13,222.341,242.214,316.534,13,29,8,6
14,222.341,242.214,318.865,14,28,8,6
15,222.341,242.214,316.941,14,30,8,6
16,222.341,242.214,316.941,14,30,8,6
17,222.341,242.214,305.254,14,30,8,6
18,222.341,242.214,293.112,14,30,8,6
19,222.105,285.675,292.686,13,26,7,6
20,219.757,219.956,300.233,12,25,7,5
21,205.548,218.816,296.732,12,25,7,6
22,205.474,217.447,282.381,13,27,8,6
23,205.474,217.447,270.581,12,24,7,5
24,205.474,217.447,291.878,12,24,7,5
25,205.474,217.447,270.729,12,25,7,5
26,205.474,217.447,270.755,12,24,7,5
27,205.474,217.447,270.806,11,23,6,5
28,205.474,217.447,281.018,12,25,7,5
29,205.474,217.447,264.781,12,25,7,5
30,205.474,217.447,269.593,12,25,7,5
31,205.474,217.447,267.868,11,23,6,5
32,205.474,217.447,271.631,11,24,6,5
33,203.459,239.006,272.022,11,24,6,5
34,198.058,227.777,270.747,10,23,5,5
35,198.013,227.801,270.747,11,24,5,5
36,193.775,255.309,260.504,11,23,5,5
37,193.775,255.309,260.504,11,24,5,5
38,193.775,255.309,270.806,11,24,5,5
39,193.775,255.309,260.504,10,23,5,5
40,193.775,255.309,260.504,10,20,5,5
41,192.857,251.164,271.475,8,20,4,5
